,Local,Área plantada (Hectares),Área colhida (Hectares),Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais)
433,Tunas do Paraná,446.0,446.0,..,..,4663.0
434,Paranaguá,2818.0,2818.0,..,..,32713.0
435,Antonina,360.0,360.0,..,..,4159.0
436,Guaraqueçaba,642.0,642.0,..,..,7085.0
437,Guaratuba,739.0,739.0,..,..,8624.0
438,Matinhos,42.0,42.0,..,..,499.0
439,Morretes,587.0,587.0,..,..,7165.0
440,Paranaguá,372.0,372.0,..,..,4302.0
441,Pontal do Paraná,76.0,76.0,..,..,878.0
442,Rio Negro,80643.0,80643.0,..,..,924334.0
443,Agudos do Sul,6755.0,6755.0,..,..,77017.0
444,Campo do Tenente,14452.0,14452.0,..,..,155684.0
445,Piên,10945.0,10945.0,..,..,165353.0
446,Quitandinha,21610.0,21610.0,..,..,261747.0
447,Rio Negro,17861.0,17861.0,..,..,158244.0
448,Tijucas do Sul,9020.0,9020.0,..,..,106295.0
